"time","user","text"
"Fri Jun 05 23:45:00 PDT 2009","XFearLessX","@theDebbyRyan and i still am waiting for ur song to go on itunes haha, let us know when it does! hehe todays my birthday! "
"Mon Jun 15 19:15:32 PDT 2009","margieapril","morning all! i just had caramel frapuchino and i'm feeling fat now  "
"Sun May 31 08:39:08 PDT 2009","cheers01","@Angelina1979 oh yeah- I have started to fall a little bit in love with Jon! "
"Fri Jun 05 12:54:36 PDT 2009","CatherineKorpse","LAND OF THE LOST. Scifi channel. right now.  Watch it."
"Thu Jun 18 17:59:43 PDT 2009","Kristina_BB","At work again "
"Mon Jun 15 17:13:32 PDT 2009","bizzlea","I just played and won my first game of Solitaire ever and Im really excited--is that sad? "
"Sun Jun 07 20:17:05 PDT 2009","gettingoutside","#Culture. The #Arts. #Outdoors. New Jersey? Grounds for Sculpture:  http://bit.ly/3mmAZp Whodathunkit? "
"Sat May 02 06:42:44 PDT 2009","Shiela_sassy","@maxweels I want to go this year!!! I love Ibiza. "
"Tue Jun 02 16:56:37 PDT 2009","AggieTarheel01","Y'all know how I say that I hate early mornings?! Well, it's going to be an early morning tomorrow for me "
"Wed Jun 17 11:08:33 PDT 2009","ullioo","i don't want to study any longer. why is summer in germany so late? not fair!! "
"Sun May 31 09:29:30 PDT 2009","Promise2Pretty","@SoAmatory_SK WHATTTTT WE IN THERE!!!! P.S. Sheldon text me "
"Fri Jun 19 20:01:55 PDT 2009","MICKEYZUKEY","@KhloeKardashian  UNABLE TO WATCH DUE TO TECHNICAL ISSUES WITH MY NETWORK"
"Mon Apr 20 07:45:00 PDT 2009","megantyler11","Ah i hate stupid drama. Sometimes i wish no of us ever got together so we wouldnt hurt each other  stupid!...other than that, great da ..."
"Sun May 03 04:02:33 PDT 2009","iampeewee","@supersluggish thanks babe!  i've been watching the HBO 24/7 episodes but not the actual fight."
"Sun May 17 02:26:12 PDT 2009","adamsamanda","Finally on way home after epic 10 hour walk, proud of our achievement but it was such hard work "
"Mon Jun 15 17:39:23 PDT 2009","Ambershine29","@mnrmg OMG So Hot!...I could go on and on about those two docs but I'll spare you....They are JUST SO F'able!!!!! K...I'm done "
"Fri Jun 05 22:57:02 PDT 2009","dollbait","@clevertitania Note to self... "
"Sat May 09 22:51:44 PDT 2009","booomboxandy","If someone in the family died you would of heard about it. Duhhhhhh. . . "
"Sun Jun 07 00:25:42 PDT 2009","vivalaalise","Just got out of work... Going for a double-doubly "
