"date","user","text"
"Sun May 10 00:27:16 PDT 2009","swtazndreamer","misses Alexander Degai so much! true love never dies "
"Thu Jun 25 00:44:06 PDT 2009","rebeccasigler","hmm, about to leave milwaukee "
"Thu Jun 18 20:29:13 PDT 2009","christyklein","is desperately wishing this headache would GO. AWAY! "
"Thu May 28 23:39:35 PDT 2009","Cherye101","@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping "
"Sun Apr 19 11:29:15 PDT 2009","guptasharmila","just back home half hour ago, prepared dinner and have absolutely no energy left to finish the security doc "
"Mon Jun 01 15:41:34 PDT 2009","shandra587","@JonFTW well you know you got the nickname &quot;beautiful&quot; at sru for this hair...but you know how I feel about mark "
"Sun May 31 07:22:52 PDT 2009","kaanaakoo","Ugh why do we have school tomorrow  I NEED , not want , NEED a sleeeeeep &gt;&lt; like for 15 hours!!!!!!"
"Sun Jun 14 22:29:50 PDT 2009","JxNew","all of my poetry; - rieno2: coolness…a poet  si. =] check it out, tell me watcha think. [por favor] they... http://tumblr.com/xfp21p414"
"Fri Jun 19 16:31:44 PDT 2009","generation1992","@DIVACANDICEM we will miss u "
"Fri Jun 05 10:59:38 PDT 2009","sammcote","@juliajayy oh you suck. i doubt i'm going in to work tomorrow either... i think andrew's coming over "
"Tue Jun 16 22:52:49 PDT 2009","Mateocamargo","my lil brother is better looking than me "
"Fri May 29 22:40:24 PDT 2009","LizzyBooBoo","@ ctayah happy birthday! How old? "
"Thu May 28 22:44:49 PDT 2009","mikeinsd77","@90_angel Well I am off to bed then Phoenix in the morning, have a great day, and weekend if i don't see you "
"Thu Jun 25 07:49:05 PDT 2009","lustpot","Well time to go into hell for a day, alone.  . FML really, fuck it."
"Wed Jun 17 03:02:16 PDT 2009","NokkonWud","Birmingham, Burnley, Wigan first 3 for us. Looks like too easy a start, means we won't be in the CL final this year "
"Wed Jun 03 10:34:47 PDT 2009","CaraNinaMcfly","nina: yummy dinner!! chicken salad and strawberry jelly for pudding  but for now.. back to revision..... tweet tweet Xx"
"Sun Jun 07 18:00:56 PDT 2009","charmingrose","loves when the &quot;updating&quot; Scott does for her computer causes all programs needed for her homework to crash. "
"Fri May 29 18:48:07 PDT 2009","TheRaeRae","@Fizen #FNWC  Now I wanna read it.... LOL Lemme know if you need a betareader! "
"Tue Jun 02 18:08:17 PDT 2009","Daniel_Ellis","@amaaanda Cool....very nice picture.  "
"Sat Jun 20 21:45:45 PDT 2009","YaniraGuerra","My night just ended in disaster "
"Fri Jun 05 18:57:18 PDT 2009","Racchhhaellll","@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too "
"Sun May 10 05:43:44 PDT 2009","Uk_joedan_fan","@suzi98babe I found the website but it won't let me look at full length vids "
"Fri Jun 19 20:56:26 PDT 2009","jadesamantha_","@oceanUP aww that really sucks  congrats on the tan! i'm peeling... :I"
"Tue Jun 16 01:10:40 PDT 2009","MsQuizzmsz","Supporting peterfacinelli to win!!!!!!!!!!!!  Goodnight everyone. Okay really last one.  "
"Sun May 31 01:29:17 PDT 2009","zoeelouise18","@Jezzy14 haha really? its ok here. i dunno i dont really think its as good as its made out to be. but we hardly ever get good bands here "
"Sat Jun 06 00:41:58 PDT 2009","HBMommy","@trvsbrkr Ahhhh! Sake BOMB!!! ...maybe not wit da kidlets. "
"Wed Jun 03 06:18:29 PDT 2009","airarowena","@jes1129 MISS YOUU SOOO MUCHHH! MISS YOUU A LOOT! TERRIBLY MISSIN' YOUUU! [[haha! are that CAPS killing you? ahaha! but i mean it]] "
"Sun Jun 14 23:38:19 PDT 2009","kyleisrobot","sore. graduating in a matter of hours. this is going to be fun. "
"Thu Jun 25 08:40:22 PDT 2009","deadlystingnyc","@SaikoSakura well crap. can't make tomorrow, driving to Catskills for cousin's wedding weekend "
"Sat May 09 19:40:59 PDT 2009","brianrayner151","i am on aim getting ready to go to bed. running a 5k tommorow for mothers day. wish me luck! "
"Tue Jun 02 22:47:04 PDT 2009","samanthamarie3","Is really effin hot. This weather is really growing on me though. "
"Thu Jun 25 00:04:44 PDT 2009","Tschludt","Finished 11th. Not bad but not in the top three  Man I wish the cards went my way on a few hands. The turn and river killed me today."
"Tue Jun 02 21:29:59 PDT 2009","TLuddy","Listening to Green Day on the Tonight Show! They still kick ass!!! "
"Fri May 22 05:38:50 PDT 2009","Benniboy22","more later "
"Tue Jun 16 05:20:07 PDT 2009","StephMarieAnd","graduation practice "
"Mon May 18 01:10:06 PDT 2009","GabbyRose","Looking at pics from Arizona...I miss those days "
"Tue Jun 16 04:50:02 PDT 2009","StuAndrews","@jchutchins: Morning to you JC. Fyi, Tuesday was interesting. Rain. Wind. Sun. Plus a slightly burnt burger for lunch. Careful "
"Sun Jun 07 15:34:10 PDT 2009","CHEFTONY","@pcassle I respect opinion and I'm disappointed you needed to vent further, I recooked,visited table, and bought the steak? why this now? "
"Tue Jun 16 18:00:10 PDT 2009","JennaM_","i can't listen to MT anymore withouth feelin a little sad ...  haha maaan . i fail"
"Fri May 29 01:01:44 PDT 2009","lilianerausch","#followfriday @FranchiseKing because #Ilikefranchiseking! "
"Mon Jun 15 23:43:01 PDT 2009","1stSashaFierce","Man i was twiitting so long n stuff i missed Runs House  They betta have a rerun fast! lol! OK NOOOOWWWW IM OFF!!!!!!! sheesh haha"
"Thu Jun 18 22:06:23 PDT 2009","Nikki_Lee","anyone use snapfish? can i reorder an order from previously or do i have to go through all my pics again? their site is down. "
