campo;inicio;tamanho;exporta;tipo.r;decimais;sinal;data;zerar.nulos
ID_TRANSACAO;1;6;1;integer;0;;F;0
FILLER_1;7;5;0;character;0;;F;0
DT_ARQUIVO;12;8;1;character;0;;T;0
TIPO_NEGOCIACAO;20;2;1;character;0;;F;0
COD_MERCADORIA;22;3;1;character;0;;F;0
COD_MERCADO;25;1;1;character;0;;F;0
TIPO_SERIE;26;1;1;character;0;;F;0
SERIE;27;4;1;character;0;;F;0
HORA_CRIACAO;31;6;1;character;0;;F;0
DT_VENCIMENTO;37;8;1;character;0;;T;0
STRIKE;45;13;1;numeric;-1;;F;1
TAMANHO_CONTRATO;58;13;1;numeric;7;;F;1
VOLUME_BRL;71;13;1;integer;0;;F;1
VOLUME_USD;84;13;1;integer;0;;F;1
QTD_CONTRATOS_ABERTO;97;8;1;integer;0;;F;1
QTD_NEGOCIOS;105;8;1;integer;0;;F;1
QTD_CONTRATOS_NEGOCIADOS;113;8;1;integer;0;;F;1
QTD_CONTRATOS_ULTIMA_COMPRA;121;5;1;integer;0;;F;1
SINAL_COTACAO_ULTIMA_COMPRA;126;1;0;character;0;;F;0
COTACAO_ULTIMA_COMPRA;127;8;1;numeric;-1;SINAL_COTACAO_ULTIMA_COMPRA;F;1
QTD_CONTRATOS_ULTIMA_VENDA;135;5;1;integer;0;;F;1
SINAL_COTACAO_ULTIMA_VENDA;140;1;0;character;0;;F;0
COTACAO_ULTIMA_VENDA;141;8;1;numeric;-1;SINAL_COTACAO_ULTIMA_VENDA;F;1
SINAL_COTACAO_PRIMEIRO_NEGOCIO;149;1;0;character;0;;F;0
COTACAO_PRIMEIRO_NEGOCIO;150;8;1;numeric;-1;SINAL_COTACAO_PRIMEIRO_NEGOCIO;F;1
SINAL_COTACAO_MENOR_NEGOCIO;158;1;0;character;0;;F;0
COTACAO_MENOR_NEGOCIO;159;8;1;numeric;-1;SINAL_COTACAO_MENOR_NEGOCIO;F;1
SINAL_COTACAO_MAIOR_NEGOCIO;167;1;0;character;0;;F;0
COTACAO_MAIOR_NEGOCIO;168;8;1;numeric;-1;SINAL_COTACAO_MAIOR_NEGOCIO;F;1
SINAL_COTACAO_MEDIA;176;1;0;character;0;;F;0
COTACAO_MEDIA;177;8;1;numeric;-1;SINAL_COTACAO_MEDIA;F;1
QTD_CONTRATOS_ULTIMO_NEGOCIO;185;5;1;integer;0;;F;1
SINAL_COTACAO_ULTIMO_NEGOCIO;190;1;0;character;0;;F;0
COTACAO_ULTIMO_NEGOCIO;191;8;1;numeric;-1;SINAL_COTACAO_ULTIMO_NEGOCIO;F;1
HORA_ULTIMO_NEGOCIO;199;6;1;character;0;;F;0
DT_ULTIMO_NEGOCIO;205;8;1;character;0;;T;0
SINAL_COTACAO_ULTIMO_NEGOCIO_ANTERIOR;213;1;0;character;0;;F;0
COTACAO_ULTIMO_NEGOCIO_ANTERIOR;214;8;1;numeric;-1;SINAL_COTACAO_ULTIMO_NEGOCIO_ANTERIOR;F;1
SINAL_COTACAO_FECHAMENTO;222;1;0;character;0;;F;0
COTACAO_FECHAMENTO;223;8;1;numeric;-2;SINAL_COTACAO_FECHAMENTO;F;1
SINAL_COTACAO_AJUSTE;231;1;0;character;0;;F;0
COTACAO_AJUSTE;232;13;1;numeric;-2;SINAL_COTACAO_AJUSTE;F;1
SITUACAO_AJUSTE;245;1;1;character;0;;F;0
SINAL_COTACAO_AJUSTE_ANTERIOR;246;1;0;character;0;;F;0
COTACAO_AJUSTE_ANTERIOR;247;13;1;numeric;-2;SINAL_COTACAO_AJUSTE_ANTERIOR;F;1
SITUACAO_AJUSTE_ANTERIOR;260;1;1;character;0;;F;0
VALOR_AJUSTE_POR_CONTRATO;261;13;1;numeric;2;;F;1
VOLUME_EXERCIDO_BRL;274;13;1;integer;0;;F;1
VOLUME_EXERCIDO_USD;287;13;1;integer;0;;F;1
QTD_NEGOCIOS_EXERCIDOS;300;8;1;numeric;0;;F;1
QTD_CONTRATOS_EXERCIDOS;308;8;1;numeric;0;;F;1
DECIMAL_GERAL;316;1;0;integer;0;;F;0
DECIMAL_AJUSTE;317;1;0;integer;0;;F;0
PERC_OSCILACAO;318;8;1;numeric;1;SINAL_PERC_OSCILACAO;F;1
SINAL_PERC_OSCILACAO;326;1;0;character;0;;F;0
VALOR_DIFERENCA;327;8;1;integer;-3;SINAL_VALOR_DIFERENCA;F;1
SINAL_VALOR_DIFERENCA;335;1;0;character;0;;F;0
VALOR_EQUIVALENCIA;336;8;1;numeric;2;;F;1
VALOR_DOLAR_ANTERIOR;344;13;1;numeric;7;;F;1
VALOR_DOLAR_ATUAL;357;13;1;numeric;7;;F;1
VALOR_DELTA_OPCAO;370;9;1;numeric;7;;F;1
QTD_SAQUES_VENCIMENTO;379;5;1;integer;0;;F;1
QTD_DC_VENCIMENTO;384;5;1;integer;0;;F;1
QTD_DU_VENCIMENTO;389;5;1;integer;0;;F;1
VENCIMENTO_CONTRATO_OBJETO;394;4;1;character;0;;F;0
MARGEM_CLIENTES_NORMAIS;398;13;1;numeric;2;;F;1
MARGEM_CLIENTES_HEDGERS;411;13;1;numeric;2;;F;1
DATA_INICIO_ENTREGA_AGRICOLAS;424;8;1;character;0;;T;0
SEQ_VENCIMENTO_FUTURO;432;3;1;integer;0;;F;0
COD_NEG_VIVA_VOZ;435;20;1;character;0;;F;0
COD_NEG_GTS;455;20;1;character;0;;F;0
CANAIS_PERMITIDOS;475;5;1;character;0;;F;0
DT_LIMITE_NEGOCIACAO;480;8;1;character;0;;T;0
DT_LIQUIDACAO_FINANCEIRA;488;8;1;character;0;;T;0
