campo;inicio;tamanho;exporta;tipo.r;decimais;sinal;data;zerar.nulos
ID_TRANSACAO;1;6;0;integer;0;;F;0
ID_TRANSACAO2;7;3;0;integer;0;;F;0
TP_REGISTRO;10;2;0;integer;0;;F;0
DT_ARQUIVO;12;8;1;character;0;;T;0
CD_CURVA;20;2;1;character;0;;F;0
CD_TAXA;22;5;1;character;0;;F;0
DESC_TAXA;27;15;1;character;0;;F;0
DC;42;5;1;integer;0;;F;0
DU;47;5;1;integer;0;;F;0
SINAL_VL_TAXA;52;1;0;character;0;;F;0
VL_TAXA;53;14;1;numeric;7;SINAL_VL_TAXA;F;0
TP_VERTICE;67;1;1;character;0;;F;0
CD_VERTICE;68;5;1;character;0;;F;0
