"rm";"id_projeto";"projeto";"tipo_rm";"titulo";"criacao_rm";"termino_rm";"data_corte";"is_backlog"
3435;3;Alpha;Evolutiva;"ELABORAÇÃO DO RELATÓRIO ""INFORMAÇÕES SOBRE OS EMPREENDIMENTOS DA COMPANHIA""";"12/07/2010";;"01/03/2017";1
6426;3;Alpha;Atendimento;Relatório Investimentos SSU;"30/11/2011";"20/07/2017";"01/03/2017";1
8020;16;SGCQ;Evolutiva;Otimização dos processos de abertura e de fechamento de serviços.;"28/09/2012";;"01/03/2017";1
8023;16;SGCQ;Evolutiva;Automatizar o processo da programação de coleta de amostras de cianotoxinas (bruta e tratada);"28/09/2012";;"01/03/2017";1
8242;3;Alpha;Evoluções e Novos Projetos;Emissão de etiquetas de materiais;"31/10/2012";"30/01/2018";"01/03/2017";1
8282;17;GSAN;Evolutiva;COBRANÇA DE DÉBITO POR CLIENTE E POR PERÍODO;"08/11/2012";"07/02/2019";"01/03/2017";1
8602;32;GHE - Gestão de Horas Extras;Evolutiva;Criação de trava na importação das Horas não validadas;"07/01/2013";"22/02/2019";"01/03/2017";1
8603;32;GHE - Gestão de Horas Extras;Atendimento;Criação de trava na validação do Gerente;"07/01/2013";"20/07/2017";"01/03/2017";1
8671;32;GHE - Gestão de Horas Extras;Atendimento;Replicar a meta até Dezembro;"16/01/2013";;"01/03/2017";1
8721;32;GHE - Gestão de Horas Extras;Atendimento;Criar Relatório contendo dados de usuários.;"24/01/2013";;"01/03/2017";1
9101;17;GSAN;Corretiva;NAO RETORNO DE CONSULTA ARRECADACAO CATEGORIA ESFERA DE PODER;"03/05/2013";"24/07/2017";"01/03/2017";1
9815;17;GSAN;Atendimento;Funcionalidades que devem ter acesso restrito;"21/10/2013";"24/07/2017";"01/03/2017";1
9858;17;GSAN;Evolutiva;Query Feirão Limpa Nome;"04/11/2013";;"01/03/2017";1
10420;54;GSI - APOIO A GESTÃO;Evolutiva;Gerar Cadastro de MOTIVO DE REPACTUAÇÃO e Funcionalidades de tratamento.;"26/03/2014";"04/11/2016";"01/03/2017";1
10512;17;GSAN;Evolutiva;Tela de inconsistência - separar campos pelos retornos;"23/04/2014";;"01/03/2017";1
10555;17;GSAN;Evolutiva;INCLUSÃO DE DADOS NA ÚLTIMA TELA DE INSERIR RA;"02/05/2014";;"01/03/2017";1
10563;17;GSAN;Corretiva;MELHORIA NO TRÂMITE DE SERVIÇOS COM MATRÍCULA PELA LOJA VIRTUAL;"05/05/2014";"19/04/2017";"01/03/2017";1
10719;17;GSAN;Evolutiva;Melhorias no controle de acesso ao GSAN;"03/07/2014";;"01/03/2017";1
10745;17;GSAN;Evolutiva;Processo 256- ENVIO DE EMAIL DA CONTA PARA O CLIENTE;"11/07/2014";;"01/03/2017";1
10832;17;GSAN;Evolutiva;Alteração na seleção de comando Foz;"06/08/2014";;"01/03/2017";1
10911;17;GSAN;Evolutiva;Recomendações auditoria - materiais Alpha;"01/09/2014";;"01/03/2017";1
10981;17;GSAN;Corretiva;Solução definitiva da RM 10949 - Processo 282;"23/09/2014";"11/05/2018";"01/03/2017";1
11026;17;GSAN;Evolutiva;Atualizações de requisito para o Novo Calendário de Abastecimento;"10/10/2014";"21/02/2017";"01/03/2017";1
11042;17;GSAN;Evolutiva;Associar Tarifa de Consumo a Imóveis associados a Contrato de Demanda;"16/10/2014";;"01/03/2017";1
11103;17;GSAN;Evolutiva;Rever o módulo de acesso ao Sistema;"06/11/2014";;"01/03/2017";1
11109;17;GSAN;Evolutiva;Ajuste na tela de mensagem na conta;"07/11/2014";;"01/03/2017";1
11129;17;GSAN;Evolutiva;Programação não transfere OS para unidade de execução;"12/11/2014";;"01/03/2017";1
11169;17;GSAN;Atendimento;Clientes Grande e Corporativos com Baixo Consumo;"24/11/2014";;"01/03/2017";1
11186;17;GSAN;Evolutiva;Implantação de dados operacionais;"03/12/2014";;"01/03/2017";1
11215;17;GSAN;Evolutiva;ENVIO DE SMS AOS CLIENTES;"16/12/2014";;"01/03/2017";1
11263;17;GSAN;Atendimento;Análise de registros tipo H;"07/01/2015";;"01/03/2017";1
11289;17;GSAN;Evolutiva;Recomendações de auditoria interna - Integração GSAN e HUMANUS;"19/01/2015";;"01/03/2017";1
11290;17;GSAN;Evolutiva;Recomendações de auditoria interna - Integração GSAN e ALPHA;"19/01/2015";;"01/03/2017";1
11298;17;GSAN;Evolutiva;possibilitar abertura de ordem de serviço em campo pelo mobile;"20/01/2015";;"01/03/2017";1
11303;17;GSAN;Atendimento;Solução definitiva da RM 11301 - Processo 282 ATU. DADOS IMOVEL PELO RECADASTRAMENTO;"21/01/2015";;"01/03/2017";1
11308;17;GSAN;Evolutiva;DOAÇÃO PRÓ-CRIANÇA - AUMENTAR VALOR;"21/01/2015";;"01/03/2017";1
11324;17;GSAN;Corretiva;Análise de Inconsistência (Recadastramento) - Pendencia não sanada ao atualizar;"03/02/2015";"24/07/2017";"01/03/2017";1
11331;17;GSAN;Evolutiva;CPF/CNPJ na conta do cliente;"05/02/2015";;"01/03/2017";1
11336;17;GSAN;Atendimento;Projetos de terceiros - Relatórios;"09/02/2015";;"01/03/2017";1
11339;54;GSI - APOIO A GESTÃO;Atendimento;Demanda de Atendimento - Falconi Consultoria;"10/02/2015";;"01/03/2017";1
11357;17;GSAN;Evolutiva;Salvar as informações do campo observação em local específico para a Tarifa Social;"20/02/2015";"09/01/2018";"01/03/2017";1
11362;17;GSAN;Atendimento;Query sem Bind Variable;"23/02/2015";;"01/03/2017";1
11372;17;GSAN;Atendimento;[GSANAS] Modificar o IP do servidor para um DNS;"24/02/2015";;"01/03/2017";1
11374;17;GSAN;Corretiva;Processo Agendamento Eventual Batch Ignora Data/Hora;"25/02/2015";"09/05/2019";"01/03/2017";1
11379;17;GSAN;Evolutiva;"Retirada de Situação de Cobrança ""Cliente Negativado"" após 5 anos";"25/02/2015";"30/01/2019";"01/03/2017";1
11392;17;GSAN;Evolutiva;verrificar raio de ação das coordenadas do momento da retirada das fotos nos serviços e informar quando o funcionário sair do raio;"27/02/2015";;"01/03/2017";1
11395;17;GSAN;Evolutiva;Emissão de relatório com os itens de materiais utilizados nas OS para um determinado período, equipe, localização e coordenação no GSAN;"27/02/2015";;"01/03/2017";1
11413;17;GSAN;Evolutiva;medições de extenções de redes de abastecimento de água;"05/03/2015";;"01/03/2017";1
11440;17;GSAN;Evolutiva;Ajustar para que as Unidades de fiscalização – ufas, realizam a indicação das ordens que foram aprovadas para faturamento pelo contrato da prestadora no mês.;"11/03/2015";;"01/03/2017";1
11443;17;GSAN;Corretiva;Verificar e corrigir os títulos das páginas do GSAN;"11/03/2015";;"01/03/2017";1
11448;17;GSAN;Evolutiva;Distribuição das tabelas do GSAN;"13/03/2015";;"01/03/2017";1
11449;17;GSAN;Evolutiva;Separação de processos batch e GSAN online - Gerar dados para leitura;"13/03/2015";;"01/03/2017";1
11464;17;GSAN;Evolutiva;Tarifa Social - checar a existência de outro imóvel no momento da implantação da TS;"16/03/2015";;"01/03/2017";1
11498;17;GSAN;Evolutiva;GERAR REL BOLETIM DE MEDIÇÃO;"23/03/2015";;"01/03/2017";1
11518;16;SGCQ;Atendimento;Verificar e corrigir erros do relatório de amostras chegadas.;"27/03/2015";"28/11/2017";"01/03/2017";1
11523;16;SGCQ;Corretiva;Verificar e corrigir duplicidades no cadastro das localidades preestabelecidas.;"30/03/2015";;"01/03/2017";1
11526;16;SGCQ;Atendimento;Adicionar validação no passo 3 da funcionalidade registrar atividade por equipe.;"30/03/2015";"28/11/2017";"01/03/2017";1
11534;17;GSAN;Evolutiva;Funcionalidade - Consultar Comandos de OS Seletiva de Inspeção de Anormalidade;"31/03/2015";;"01/03/2017";1
11560;17;GSAN;Evolutiva;Acrescentar na etapa de finalização da execução de uma OS no ambiente Mobile do GSAN campos obrigatórios;"09/04/2015";;"01/03/2017";1
11572;17;GSAN;Atendimento;ADICIONAR CAMPOS A VIEW INTEGRAÇÃO GIS GSAN;"13/04/2015";;"01/03/2017";1
11575;17;GSAN;Atendimento;Encerramento automático de RA não efetivado;"13/04/2015";;"01/03/2017";1
11577;17;GSAN;Atendimento;FATURAMENTO LIQUIDO;"14/04/2015";;"01/03/2017";1
11590;17;GSAN;Evolutiva;FACTÍVEL FATURAVEL COM DEBITO NÃO SER ALTERADO;"16/04/2015";"18/04/2017";"01/03/2017";1
11591;17;GSAN;Corretiva;Cancelamento de comando;"17/04/2015";"07/07/2017";"01/03/2017";1
11600;17;GSAN;Evolutiva;SMS diario para os Diretores e Gerentes Operacionais com valores da Arrecadação e Faturamento do estado;"22/04/2015";;"01/03/2017";1
11621;17;GSAN;Atendimento;Demora em requisições OLAP;"28/04/2015";;"01/03/2017";1
11643;17;GSAN;Evolutiva;GERAR DADOS PARA LEITURA - GRUPO 14;"07/05/2015";;"01/03/2017";1
11645;17;GSAN;Evolutiva;ANEXAR DOCUMENTOS E FOTOS NO ENCERRAMENTO DA RA;"07/05/2015";;"01/03/2017";1
11646;17;GSAN;Evolutiva;CONSULTAR IMPLANTAÇÃO DA RD DE DESCONTOS;"07/05/2015";;"01/03/2017";1
