"rm";"pausada";"data_pausa"
2901;"0";2017-07-20 15:39:28
5473;"0";2017-07-20 15:40:27
5474;"0";2017-11-28 14:29:50
6426;"0";2017-07-20 15:16:01
6529;"0";2017-11-27 15:26:30
6648;"0";2017-12-01 16:18:21
8242;"0";2018-01-30 08:51:35
8282;"0";2017-03-01 00:00:00
8282;"1";2017-05-10 16:26:16
8446;"0";2017-11-28 14:30:45
8603;"0";2017-07-20 15:17:23
8711;"0";2017-11-28 14:32:01
8971;"0";2017-11-28 14:47:45
9071;"0";2017-11-28 14:47:25
9186;"0";2017-08-07 10:06:26
9858;"0";2017-07-07 11:49:36
10316;"0";2017-11-28 14:47:06
10329;"0";2017-11-28 14:33:01
10563;"0";2017-03-13 16:23:53
10719;"0";2017-07-27 11:19:40
10981;"0";2018-05-11 14:50:56
11324;"0";2017-07-24 09:14:38
11357;"0";2017-11-17 15:41:35
11379;"0";2018-02-06 14:40:23
11440;"0";2017-07-04 12:25:55
11518;"0";2017-11-28 14:46:46
11526;"0";2017-11-28 14:46:21
11560;"0";2017-09-13 08:41:02
11590;"0";2017-04-18 14:33:52
11591;"0";2017-07-07 11:49:00
11690;"0";2017-05-12 15:51:49
11719;"1";2017-03-06 11:30:37
11719;"0";2017-07-13 15:56:40
11719;"1";2017-07-28 10:22:35
11719;"0";2017-07-28 16:35:10
11728;"0";2017-07-07 11:48:32
11772;"0";2017-06-14 11:49:17
11784;"0";2017-06-19 13:29:32
11785;"0";2017-06-19 13:31:06
11837;"0";2017-04-18 15:39:39
11840;"0";2017-09-28 14:42:59
11856;"0";2017-11-28 14:34:17
11860;"0";2017-10-19 11:57:40
11861;"0";2017-11-28 14:24:00
11878;"0";2017-12-01 16:20:09
11886;"0";2017-06-19 13:50:11
11906;"0";2017-11-28 14:45:44
11939;"0";2017-03-06 11:14:35
11939;"1";2017-05-10 14:10:39
11967;"0";2017-09-04 14:21:20
11985;"0";2017-12-01 16:23:34
11986;"0";2017-12-01 16:23:03
11996;"0";2017-07-27 14:49:13
12014;"1";2017-08-16 15:06:28
12018;"0";2017-11-28 14:24:48
12034;"0";2017-11-28 14:43:44
12067;"0";2017-11-23 14:28:35
12092;"0";2017-05-11 16:03:22
12093;"0";2017-05-11 16:08:39
12095;"0";2017-05-11 16:11:08
12096;"0";2017-05-11 16:05:20
